"product_code","setid","part_num","numerator_value","numerator_unit","denominator_value","denominator_unit","base_of_strength"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","6","mg","","","Riboflavin"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","5","mg","","","Pyridoxine"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","1","mg","","","Folic Acid"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","15","ug","","","Cyanocobalamin"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","30","mg","","","Niacinamide"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","10","mg","","","Pantothenic Acid"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","18.2","mg","","","zinc"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","6.9","mg","","","Magnesium"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","1.3","mg","","","Manganese"
"23359-100","00a6e59a-4714-46ab-8119-12db89deff27","0","0.8","mg","","","Copper"
"0078-0488","004418b6-699b-4d27-a993-eabb62490b57","0","5","mg","","","AMLODIPINE"
"0078-0488","004418b6-699b-4d27-a993-eabb62490b57","0","160","mg","","","VALSARTAN"
"0078-0489","004418b6-699b-4d27-a993-eabb62490b57","0","10","mg","","","AMLODIPINE"
"0078-0489","004418b6-699b-4d27-a993-eabb62490b57","0","160","mg","","","VALSARTAN"
"0078-0490","004418b6-699b-4d27-a993-eabb62490b57","0","5","mg","","","AMLODIPINE"
"0078-0490","004418b6-699b-4d27-a993-eabb62490b57","0","320","mg","","","VALSARTAN"
"0555-0956","0055375f-cbe2-4a04-b088-523e00fddd57","0","15","mg","","","DEXTROAMPHETAMINE"
"0078-0491","004418b6-699b-4d27-a993-eabb62490b57","0","10","mg","","","AMLODIPINE"
"0078-0491","004418b6-699b-4d27-a993-eabb62490b57","0","320","mg","","","VALSARTAN"
"63629-1472","009a7004-d6f0-4dfc-2763-6c5370c6dc68","0","2.5","mg","","","METHOTREXATE"
"53808-0380","00973f5a-1447-4002-a86a-e2b61fad3678","0","25","mg","","","MECLIZINE"
"54569-3966","00b6b1de-85df-4e29-852a-905852ffc9ac","0","0.25","mg","","","triazolam"
"54569-2687","007344f0-4110-4553-a223-2e6c01c2698a","0","0.5","mg","","","LORAZEPAM"
"54569-1585","007344f0-4110-4553-a223-2e6c01c2698a","0","1","mg","","","LORAZEPAM"
"54569-2173","007344f0-4110-4553-a223-2e6c01c2698a","0","2","mg","","","LORAZEPAM"
"54868-2702","00441ec2-2592-4ca2-90f5-c86c6eebed32","0","0.3","mg","","","ESTROGENS, CONJUGATED"
"54868-0365","00441ec2-2592-4ca2-90f5-c86c6eebed32","0","0.9","mg","","","ESTROGENS, CONJUGATED"
"54868-4865","00441ec2-2592-4ca2-90f5-c86c6eebed32","0","0.45","mg","","","ESTROGENS, CONJUGATED"
"54868-0453","00441ec2-2592-4ca2-90f5-c86c6eebed32","0","1.25","mg","","","ESTROGENS, CONJUGATED"
"54868-0451","00441ec2-2592-4ca2-90f5-c86c6eebed32","0","0.625","mg","","","ESTROGENS, CONJUGATED"
"66336-354","00c820ad-3f5e-4a79-a864-4e674da6f285","0","10","mg","","","AMITRIPTYLINE"
"0085-1402","00bebd7a-774a-41d5-9f65-aa625531f6f7","0","12","ug","","","FORMOTEROL"
"52125-727","00e33865-086b-4b10-8e59-3accc7e812ae","0","50","mg","","","NALTREXONE"
"51862-172","00e1f644-1538-4054-b112-227e7254317e","0","1","mg","","","FLUORIDE ION"
"0085-1401","00bebd7a-774a-41d5-9f65-aa625531f6f7","0","12","ug","","","FORMOTEROL"
"68462-316","00d127e2-3ee8-4dc9-b210-7aa3a380b92a","1","0.4","mg","","","NORETHINDRONE"
"68462-316","00d127e2-3ee8-4dc9-b210-7aa3a380b92a","1","0.035","mg","","","ETHINYL ESTRADIOL"
"51285-554","0092e986-6eb5-4ac0-80db-6291f857d379","0","100","mg","","","TRIMIPRAMINE"
"55154-5679","00e60921-046e-4892-b3c9-a181b3b3f9e9","0","25","mg","","","INDOMETHACIN"
"51079-192","008743b7-7cc8-4399-b9e2-86d6b9268beb","0","80","mg","","","VALSARTAN"
"51079-192","008743b7-7cc8-4399-b9e2-86d6b9268beb","0","12.5","mg","","","HYDROCHLOROTHIAZIDE"
"51079-193","008743b7-7cc8-4399-b9e2-86d6b9268beb","0","160","mg","","","VALSARTAN"
"51079-193","008743b7-7cc8-4399-b9e2-86d6b9268beb","0","12.5","mg","","","HYDROCHLOROTHIAZIDE"
"0093-5285","005dc166-41db-4d62-b686-cb5a67098b42","0","2","mg","","","ROPINIROLE"
"0093-5286","005dc166-41db-4d62-b686-cb5a67098b42","0","3","mg","","","ROPINIROLE"
"0093-5287","005dc166-41db-4d62-b686-cb5a67098b42","0","4","mg","","","ROPINIROLE"
"0093-5288","005dc166-41db-4d62-b686-cb5a67098b42","0","5","mg","","","ROPINIROLE"
"0078-0417","007c5b4e-7e8d-40b2-8d4f-02512e88d8ac","0","0.25","mg","","","EVEROLIMUS"
"0078-0414","007c5b4e-7e8d-40b2-8d4f-02512e88d8ac","0","0.5","mg","","","EVEROLIMUS"
"0078-0415","007c5b4e-7e8d-40b2-8d4f-02512e88d8ac","0","0.75","mg","","","EVEROLIMUS"
"51285-539","0092e986-6eb5-4ac0-80db-6291f857d379","0","50","mg","","","TRIMIPRAMINE"
"51079-194","008743b7-7cc8-4399-b9e2-86d6b9268beb","0","160","mg","","","VALSARTAN"
"51079-194","008743b7-7cc8-4399-b9e2-86d6b9268beb","0","25","mg","","","HYDROCHLOROTHIAZIDE"
"51285-538","0092e986-6eb5-4ac0-80db-6291f857d379","0","25","mg","","","TRIMIPRAMINE"
"68462-388","00dc82a1-2d44-499b-9f88-d693fdb0dd50","1","0.15","mg","","","LEVONORGESTREL"
"68462-388","00dc82a1-2d44-499b-9f88-d693fdb0dd50","1","0.03","mg","","","ETHINYL ESTRADIOL"
"62756-130","00ddd886-534b-4fe8-b9e6-a7c799884ed1","0","4","mg","","","ONDANSETRON"
"62756-131","00ddd886-534b-4fe8-b9e6-a7c799884ed1","0","8","mg","","","ONDANSETRON"
"43063-045","00e878d6-24f5-4ca8-abcf-7a41ddce8d79","0","20","mg","","","DICYCLOMINE"
"0178-0797","00ecf076-d840-bee7-38d1-48bae1066bff","0","29","mg","","","IRON"
"21695-821","00bdb48f-8b8f-4cc5-bb63-77213f2279cb","0","2.5","mg","","","ramipril"
"21695-822","00bdb48f-8b8f-4cc5-bb63-77213f2279cb","0","5","mg","","","ramipril"
"21695-823","00bdb48f-8b8f-4cc5-bb63-77213f2279cb","0","10","mg","","","ramipril"
"55154-3342","0090b65d-d663-4588-b0e6-e6fc903ca18c","0","20","mg","","","ZIPRASIDONE"
"55154-3343","0090b65d-d663-4588-b0e6-e6fc903ca18c","0","40","mg","","","ZIPRASIDONE"
"55154-3384","0090b65d-d663-4588-b0e6-e6fc903ca18c","0","60","mg","","","ZIPRASIDONE"
"55154-3344","0090b65d-d663-4588-b0e6-e6fc903ca18c","0","80","mg","","","ZIPRASIDONE"
"58118-0519","00c3be4a-c9a4-4ad8-8b0b-431098943256","0","12.5","mg","","","HYDROCHLOROTHIAZIDE"
"58118-0519","00c3be4a-c9a4-4ad8-8b0b-431098943256","0","20","mg","","","LISINOPRIL ANHYDROUS"
"58118-1520","00c3be4a-c9a4-4ad8-8b0b-431098943256","0","25","mg","","","HYDROCHLOROTHIAZIDE"
"58118-1520","00c3be4a-c9a4-4ad8-8b0b-431098943256","0","20","mg","","","LISINOPRIL ANHYDROUS"
"58118-1518","00c3be4a-c9a4-4ad8-8b0b-431098943256","0","25","mg","","","HYDROCHLOROTHIAZIDE"
"58118-1518","00c3be4a-c9a4-4ad8-8b0b-431098943256","0","20","mg","","","LISINOPRIL ANHYDROUS"
"31722-526","00e934bb-c15b-490a-a852-839689a1231a","0","1","mg","","","FINASTERIDE"
"53808-0962","00f6952b-d14b-462b-8881-f5aacaa44f1e","0","100","mg","","","DOXYCYCLINE"
"60505-0097","0090e748-8235-c1b5-4088-06c0b55d345b","0","10","mg","","","PAROXETINE"
"60505-0083","0090e748-8235-c1b5-4088-06c0b55d345b","0","20","mg","","","PAROXETINE"
"60505-0084","0090e748-8235-c1b5-4088-06c0b55d345b","0","10","mg","","","PAROXETINE"
"60505-0101","0090e748-8235-c1b5-4088-06c0b55d345b","0","40","mg","","","PAROXETINE"
"42254-150","0100f9fd-5d4a-4ee6-9c7f-0b60e69e78b8","0","250","mg","","","ATOVAQUONE"
"42254-150","0100f9fd-5d4a-4ee6-9c7f-0b60e69e78b8","0","100","mg","","","PROGUANIL"
"63739-228","00f99b7b-f4fa-499c-9a27-9879eae128b0","0","800","mg","","","Sulfamethoxazole"
"63739-228","00f99b7b-f4fa-499c-9a27-9879eae128b0","0","160","mg","","","Trimethoprim"
"60505-2968","00e70f0e-ee2b-2b68-83b3-bda00be98283","0","250","mg","","","MYCOPHENOLIC ACID"
"60505-2967","00e70f0e-ee2b-2b68-83b3-bda00be98283","0","500","mg","","","MYCOPHENOLIC ACID"
"54868-1129","01172abb-07b0-4cc9-ab0c-8922c8993c44","0","0.2","mg","","","DESMOPRESSIN"
"0615-7568","011f3ad5-2b31-4560-9aad-ae158eff396d","0","50","mg","","","AZATHIOPRINE"
"49349-681","00f98cf5-35a1-400c-aaff-32e24f422ca7","0","12.5","mg","","","HYDROCHLOROTHIAZIDE"
"54868-6316","011fff61-3327-45a3-ba99-86c12b9c28f3","0","500","mg","","","LEVETIRACETAM"
"68645-412","01088a07-95bb-4600-ae27-ef7297e0d136","0","50","mg","","","LOSARTAN"
"68645-412","01088a07-95bb-4600-ae27-ef7297e0d136","0","12.5","mg","","","HYDROCHLOROTHIAZIDE"
"43063-108","010f468e-2ace-4ea4-9278-a26b6aabd5ca","0","250","mg","","","METRONIDAZOLE"
"63717-901","0116d4a6-b19b-41ab-92be-dd73f7872e1e","0","5","mg","","","HYDROCODONE"
"63717-901","0116d4a6-b19b-41ab-92be-dd73f7872e1e","0","200","mg","","","IBUPROFEN"
"43063-178","011adecc-2994-4eed-939f-f6b926c10724","0","125","ug","","","LEVOTHYROXINE"
"63629-1413","00f46a7e-2332-44a2-9cd6-5fa92f337f7a","0","50","mg","","","HYDROCHLOROTHIAZIDE"
"55154-0082","00f1a642-3350-43fb-9efb-2d7bb2555ace","0","300","mg","","","TENOFOVIR ANHYDROUS"
"55154-0082","00f1a642-3350-43fb-9efb-2d7bb2555ace","0","200","mg","","","EMTRICITABINE"
"49349-653","0107264f-797d-4dfc-b6e4-3b9b182d2ac8","0","75","mg","","","BUPROPION"
"59630-375","00ea44c7-97e5-426f-b0f2-8884e8bfa7dc","0","375","mg","","","NAPROXEN"
"59630-850","00ea44c7-97e5-426f-b0f2-8884e8bfa7dc","0","500","mg","","","NAPROXEN"
"43353-787","01211049-3b2e-4d9c-a26b-ff2b30bcb118","0","100","mg","","","SERTRALINE"
"59630-777","00ea44c7-97e5-426f-b0f2-8884e8bfa7dc","0","750","mg","","","NAPROXEN"
"52125-103","012612ef-a56d-42d4-a0c6-0004f4a4ff7a","0","500","mg","","","CLARITHROMYCIN"
"60505-2606","00d934fc-3959-1b5b-3471-33fde154e00a","0","3.125","mg","","","carvedilol"
"60505-2607","00d934fc-3959-1b5b-3471-33fde154e00a","0","6.25","mg","","","carvedilol"
"60505-2608","00d934fc-3959-1b5b-3471-33fde154e00a","0","12.5","mg","","","carvedilol"
"60505-2609","00d934fc-3959-1b5b-3471-33fde154e00a","0","25","mg","","","carvedilol"
"68084-286","00fc4909-d33f-4e73-a63d-10058624915b","0","60","mg","","","FEXOFENADINE"
"68084-287","00fc4909-d33f-4e73-a63d-10058624915b","0","180","mg","","","FEXOFENADINE"
"0615-7623","012959a5-397a-4d92-8758-656327a64ed6","0","5","mg","","","DONEPEZIL"
"0615-7624","012959a5-397a-4d92-8758-656327a64ed6","0","10","mg","","","DONEPEZIL"
"21695-375","0131d303-52c4-4ea7-a560-b529bb2c1616","0","150","mg","","","NIZATIDINE"
"50436-0195","0130cca8-a739-4d5b-830b-31f803367fbc","0","1","mg","","","CLONAZEPAM"
"54569-5813","01714fb6-6ac6-4f07-8985-ce1f91306ea5","0","800","mg","","","SULFAMETHOXAZOLE"
"54569-5813","01714fb6-6ac6-4f07-8985-ce1f91306ea5","0","160","mg","","","TRIMETHOPRIM"
"50436-4624","016bafb1-591f-40ee-a1e5-72e698051eac","0","100","mg","","","SUMATRIPTAN"
"55289-870","013c8f96-f8fb-4fcf-a8f3-56db1b65fcd0","0","10","mg","","","atorvastatin"
"54569-3403","0173aeef-5ee4-4ac8-ab97-ee8a085e20a5","0","350","mg","","","CARISOPRODOL"
"0378-5521","016bc565-3250-4258-b8a5-bd9f73d8aca4","0","150","mg","","","BUPROPION"
"43063-416","01821c4b-1cb0-4230-acdc-e7ac23c80a66","0","20","mg","","","FUROSEMIDE"
"60760-280","0109efce-8225-4b74-85e0-c270460baa32","0","100","mg","","","TOPIRAMATE"
"60760-287","0109efce-8225-4b74-85e0-c270460baa32","0","25","mg","","","TOPIRAMATE"
"60760-279","0109efce-8225-4b74-85e0-c270460baa32","0","50","mg","","","TOPIRAMATE"
"16590-308","01761807-9d72-4fea-8cc2-fe6f942d085c","0","12.5","mg","","","HYDROCHLOROTHIAZIDE"
"16590-308","01761807-9d72-4fea-8cc2-fe6f942d085c","0","20","mg","","","LISINOPRIL ANHYDROUS"
"16590-309","01761807-9d72-4fea-8cc2-fe6f942d085c","0","25","mg","","","HYDROCHLOROTHIAZIDE"
"16590-309","01761807-9d72-4fea-8cc2-fe6f942d085c","0","20","mg","","","LISINOPRIL ANHYDROUS"
"16714-298","01422adc-a77c-45cd-9847-eb6f7704f1c6","0","250","mg","","","AMOXICILLIN ANHYDROUS"
"16714-299","01422adc-a77c-45cd-9847-eb6f7704f1c6","0","500","mg","","","AMOXICILLIN ANHYDROUS"
"33261-145","01865cdb-07be-4125-8bd9-6e4c61f5f0f8","0","1000","mg","","","METFORMIN"
"16590-214","018712fb-ddc7-413a-a997-3c4be8395bf9","0","15","mg","","","TEMAZEPAM"
"67296-0678","0188b189-ceb0-492d-a252-f00de0f616a2","0","50","mg","","","CAPTOPRIL"
"0378-0001","014cd4ae-2b02-48d0-847a-a424e9a6b3db","0","0.1","mg","","","CLONIDINE"
"0378-0001","014cd4ae-2b02-48d0-847a-a424e9a6b3db","0","15","mg","","","CHLORTHALIDONE"
"0378-0027","014cd4ae-2b02-48d0-847a-a424e9a6b3db","0","0.2","mg","","","CLONIDINE"
"0378-0027","014cd4ae-2b02-48d0-847a-a424e9a6b3db","0","15","mg","","","CHLORTHALIDONE"
"0378-0072","014cd4ae-2b02-48d0-847a-a424e9a6b3db","0","0.3","mg","","","CLONIDINE"
"0378-0072","014cd4ae-2b02-48d0-847a-a424e9a6b3db","0","15","mg","","","CHLORTHALIDONE"
"0904-6087","01315e8f-278d-42cc-af60-b9bf55bc5713","0","25","mg","","","SERTRALINE"
"0904-6088","01315e8f-278d-42cc-af60-b9bf55bc5713","0","50","mg","","","SERTRALINE"
"0904-6089","01315e8f-278d-42cc-af60-b9bf55bc5713","0","100","mg","","","SERTRALINE"
"51079-921","0151bade-2c20-45e6-b53a-41110ed40ebc","0","25","mg","","","CLOZAPINE"
"51079-922","0151bade-2c20-45e6-b53a-41110ed40ebc","0","100","mg","","","CLOZAPINE"
"51079-749","0151bade-2c20-45e6-b53a-41110ed40ebc","0","200","mg","","","CLOZAPINE"
"54868-5021","01773720-eb77-4c73-880c-a727561fafc7","0","25","mg","","","METOPROLOL"
"54868-2989","01773720-eb77-4c73-880c-a727561fafc7","0","50","mg","","","METOPROLOL"
"54868-2990","01773720-eb77-4c73-880c-a727561fafc7","0","100","mg","","","METOPROLOL"
"63629-4394","019fe214-70a0-4f7e-b406-c7e7fa3009c2","0","50","mg","","","TRAMADOL"
"16590-895","018f409d-24cf-408c-bda0-7f11f4f1405d","0","20","mg","","","ZIPRASIDONE"
"68405-158","01b58acf-d9f4-4b33-96eb-30ec21ca90aa","1","5","mg","","","CYCLOBENZAPRINE"
"68405-158","01b58acf-d9f4-4b33-96eb-30ec21ca90aa","2","100","mg","","",".GAMMA.-AMINOBUTYRIC ACID"
"68084-537","01af55ee-a92f-4e67-a14f-3621da3ed3f5","0","300","mg","","","CLOPIDOGREL"
"42254-243","0193faa4-9b02-4ccd-9751-de6124cc8c68","0","2.5","mg","","","LETROZOLE"
"55111-332","0191fde3-24e9-c49f-2587-ae12c33e899b","0","20","mg","","","Pantoprazole"
"55111-333","0191fde3-24e9-c49f-2587-ae12c33e899b","0","40","mg","","","Pantoprazole"
"0071-0155","01458c41-2699-4513-aaa3-f02989d4d942","0","10","mg","","","ATORVASTATIN"
"0071-0156","01458c41-2699-4513-aaa3-f02989d4d942","0","20","mg","","","ATORVASTATIN"
"0071-0157","01458c41-2699-4513-aaa3-f02989d4d942","0","40","mg","","","ATORVASTATIN"
"0071-0158","01458c41-2699-4513-aaa3-f02989d4d942","0","80","mg","","","ATORVASTATIN"
"54569-5784","01ae6a69-8130-490c-b9b5-4701f6da998f","0","250","mg","","","CEFPROZIL ANHYDROUS"
"54569-6195","01ae6a69-8130-490c-b9b5-4701f6da998f","0","500","mg","","","CEFPROZIL ANHYDROUS"
"0904-5853","0188f8cf-7de1-4f6c-b09b-ab4e5e9f603b","0","400","mg","","","IBUPROFEN"
"0904-5854","0188f8cf-7de1-4f6c-b09b-ab4e5e9f603b","0","600","mg","","","IBUPROFEN"
"0904-5855","0188f8cf-7de1-4f6c-b09b-ab4e5e9f603b","0","800","mg","","","IBUPROFEN"
"63629-4075","01d906d4-67f7-4720-9147-c236ba5683d1","0","10","mg","","","BISOPROLOL"
"63629-4075","01d906d4-67f7-4720-9147-c236ba5683d1","0","6.25","mg","","","HYDROCHLOROTHIAZIDE"
"55289-747","01cd7235-7d8e-4ffc-9ba5-727db6d81bfb","0","250","mg","","","ATOVAQUONE"
"55289-747","01cd7235-7d8e-4ffc-9ba5-727db6d81bfb","0","100","mg","","","PROGUANIL"
"52125-139","01d47c8d-1deb-4772-baa9-ae63b15093db","0","5","mg","","","HYDROCODONE"
"0187-1221","01c46f44-14ff-4510-89cb-84114ce439de","0","1","mg","","","NABILONE"
"50436-2607","01d7abc8-4803-4256-b88a-a9b280569268","0","6.25","mg","","","CARVEDILOL"
"68382-018","015bfd70-0edf-4ee6-b331-2fc629cb21e8","0","25","mg","","","VENLAFAXINE"
"68382-019","015bfd70-0edf-4ee6-b331-2fc629cb21e8","0","37.5","mg","","","VENLAFAXINE"
"68382-020","015bfd70-0edf-4ee6-b331-2fc629cb21e8","0","50","mg","","","VENLAFAXINE"
"68382-021","015bfd70-0edf-4ee6-b331-2fc629cb21e8","0","75","mg","","","VENLAFAXINE"
"68382-101","015bfd70-0edf-4ee6-b331-2fc629cb21e8","0","100","mg","","","VENLAFAXINE"
"21695-366","01c5574c-1056-49c6-af20-e950db3f4139","0","400","mg","","","INDINAVIR"
"0093-2057","01cb6971-52c2-4325-b2af-ba5358148d75","0","30","mg","","","Nifedipine"
"12634-267","01bcf883-dd64-47a9-8576-ae6ddcdb6cce","0","300","mg","","","ACETAMINOPHEN"
"12634-267","01bcf883-dd64-47a9-8576-ae6ddcdb6cce","0","15","mg","","","CODEINE ANHYDROUS"
