"product_code","setid","part_num","numerator_value","numerator_unit","denominator_value","denominator_unit","base_of_strength"
"55648-967","6a0a2d15-e67c-41d9-85fd-bafe9b3fb7e2","0","25","mg","","","BETHANECHOL"
"55648-968","6a0a2d15-e67c-41d9-85fd-bafe9b3fb7e2","0","50","mg","","","BETHANECHOL"
"16590-181","42646d8c-2c00-4575-b215-bad0789a1ce0","0","20","mg","","","PAROXETINE"
"59746-001","7bf4d3d3-3f8a-4e20-9194-061658efca61","0","4","mg","","","Methylprednisolone"
"59746-002","7bf4d3d3-3f8a-4e20-9194-061658efca61","0","8","mg","","","Methylprednisolone"
"59746-003","7bf4d3d3-3f8a-4e20-9194-061658efca61","0","16","mg","","","Methylprednisolone"
"59746-015","7bf4d3d3-3f8a-4e20-9194-061658efca61","0","32","mg","","","Methylprednisolone"
"52959-919","1f468b3f-7edf-44aa-81e2-ddb1cc0c1724","0","2","mg","","","ESZOPICLONE"
"52959-852","1f468b3f-7edf-44aa-81e2-ddb1cc0c1724","0","3","mg","","","ESZOPICLONE"
"0615-1560","96b08887-8696-491e-9226-892a9da87508","0","10","mg","","","ISOSORBIDE DINITRATE"
"0615-1575","96b08887-8696-491e-9226-892a9da87508","0","20","mg","","","ISOSORBIDE DINITRATE"
"24236-205","5be97a06-1a2b-460c-845e-e9ed18016df9","0","20","mg","","","PREDNISONE"
"51079-027","738b8ff3-97d8-45be-a9f2-9a1c1b27f394","0","324","mg","","","Quinidine"
"68462-162","c4a21f67-7812-4634-beba-f8e85c63c5f2","0","3.125","mg","","","CARVEDILOL"
"68462-163","c4a21f67-7812-4634-beba-f8e85c63c5f2","0","6.25","mg","","","CARVEDILOL"
"68462-164","c4a21f67-7812-4634-beba-f8e85c63c5f2","0","12.5","mg","","","CARVEDILOL"
"68462-165","c4a21f67-7812-4634-beba-f8e85c63c5f2","0","25","mg","","","CARVEDILOL"
"35356-802","bbbc5dc1-5a91-4430-adcb-a5f6963cc0a2","0","7.5","mg","","","OXYCODONE"
"35356-802","bbbc5dc1-5a91-4430-adcb-a5f6963cc0a2","0","325","mg","","","ACETAMINOPHEN"
"35356-801","bbbc5dc1-5a91-4430-adcb-a5f6963cc0a2","0","10","mg","","","OXYCODONE"
"35356-801","bbbc5dc1-5a91-4430-adcb-a5f6963cc0a2","0","325","mg","","","ACETAMINOPHEN"
"10544-158","81dd2c3f-724d-44c3-ab0e-f0e111958741","0","0.2","mg","","","clonidine"
"51991-337","d45b95b5-a96d-418c-b637-76de9a13afdb","0","100","mg","","","GABAPENTIN"
"51991-338","d45b95b5-a96d-418c-b637-76de9a13afdb","0","300","mg","","","GABAPENTIN"
"51991-339","d45b95b5-a96d-418c-b637-76de9a13afdb","0","400","mg","","","GABAPENTIN"
"55154-4513","28c31e58-0b27-43e2-bae0-9bbb21420e9f","0","4","mg","","","ROSIGLITAZONE"
"55154-4518","28c31e58-0b27-43e2-bae0-9bbb21420e9f","0","8","mg","","","ROSIGLITAZONE"
"35356-047","e625a2d5-6727-426d-a7d1-119a49f82dfc","0","10","mg","","","MORPHINE"
"35356-050","e625a2d5-6727-426d-a7d1-119a49f82dfc","0","50","mg","","","MORPHINE"
"35356-051","e625a2d5-6727-426d-a7d1-119a49f82dfc","0","60","mg","","","MORPHINE"
"35356-076","e625a2d5-6727-426d-a7d1-119a49f82dfc","0","80","mg","","","MORPHINE"
"35356-052","e625a2d5-6727-426d-a7d1-119a49f82dfc","0","100","mg","","","MORPHINE"
"49349-496","760afbcd-bc81-4595-82c8-ec1cbd7c2b08","0","300","mg","","","TRIMETHOBENZAMIDE"
"13668-079","da038cf6-cfad-43a4-ab8e-d81d028d6087","0","4","mg","","","MONTELUKAST"
"13668-080","da038cf6-cfad-43a4-ab8e-d81d028d6087","0","5","mg","","","MONTELUKAST"
"13668-081","da038cf6-cfad-43a4-ab8e-d81d028d6087","0","10","mg","","","MONTELUKAST"
"65862-107","9907acb2-e4a0-46f9-93c0-a8d7b7ce98cf","0","100","mg","","","ZIDOVUDINE"
"68258-7013","7fffc1a1-fd8e-450f-a48f-f91ab3c656ca","0","5","mg","","","CYCLOBENZAPRINE"
"68084-100","1ea23e17-2399-4656-b055-2ad9cbdb6388","0","10","mg","","","HYDROCODONE"
"68084-100","1ea23e17-2399-4656-b055-2ad9cbdb6388","0","325","mg","","","ACETAMINOPHEN"
"49349-928","09567287-2cc1-4918-94e2-913634117a3b","0","300","mg","","","GABAPENTIN"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","53","mg","","","IRON"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","53","mg","","","IRON"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","6","mg","","","RIBOFLAVIN"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","30","mg","","","NIACIN"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","5","mg","","","PYRIDOXINE"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","1","mg","","","FOLIC ACID"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","15","ug","","","CYANOCOBALAMIN"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","10","mg","","","PANTOTHENIC ACID"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","200","mg","","","ASCORBIC ACID"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","10","mg","","","THIAMINE"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","18.2","mg","","","ZINC CATION"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","0.8","mg","","","COPPER"
"59088-112","71f63741-cad4-43b5-bb3e-c63a188d10a2","0","1.3","mg","","","MANGANESE"
"49349-466","b9cb34bb-14b5-4b98-bba0-3326e58362e0","0","1","mg","","","FOLIC ACID"
"50436-1265","617f7fbb-4211-43c0-831b-9179aee68a9b","0","50","mg","","","PREGABALIN"
"55154-9728","970da28b-04e4-4ec8-9d7b-1b74a0ec411d","0","800","mg","","","SEVELAMER"
"0093-0787","25a72ec9-de0f-44e5-90b8-da1aab0d3588","0","25","mg","","","ATENOLOL"
"0093-0752","25a72ec9-de0f-44e5-90b8-da1aab0d3588","0","50","mg","","","ATENOLOL"
"0093-0753","25a72ec9-de0f-44e5-90b8-da1aab0d3588","0","100","mg","","","ATENOLOL"
"0093-6148","4a48e24c-9280-47fe-b200-9b79a7f6bd96","1","0.1","mg","","","LEVONORGESTREL"
"0093-6148","4a48e24c-9280-47fe-b200-9b79a7f6bd96","1","0.02","mg","","","ETHINYL ESTRADIOL"
"0093-6148","4a48e24c-9280-47fe-b200-9b79a7f6bd96","2","0.01","mg","","","ETHINYL ESTRADIOL"
"52125-792","5f56f046-0a23-4338-8bd3-b2094eb01114","0","50","mg","","","SUMATRIPTAN"
"0615-7593","d7f4088e-e99a-4e3e-aea4-2c7834abe7b5","0","2.5","mg","","","MINOXIDIL"
"65841-639","b0f33792-dd96-40cc-a28e-acdcdca2f4b8","0","125","mg","","","VALPROIC ACID"
"50436-7218","0dbb3a86-a601-4d40-ab44-01901660181a","0","250","mg","","","AMOXICILLIN ANHYDROUS"
"54868-0038","30dadf97-4e8c-4630-b362-940313a8852e","0","15","mg","","","TEMAZEPAM"
"54868-0039","30dadf97-4e8c-4630-b362-940313a8852e","0","30","mg","","","TEMAZEPAM"
"68788-9517","1a11f437-a2aa-4f2b-b368-d1075cf857a9","0","1","mg","","","Finasteride"
"21695-446","d441d278-2c54-4a22-83a3-4627d49aaae4","0","10","mg","","","AMITRIPTYLINE"
"21695-251","d441d278-2c54-4a22-83a3-4627d49aaae4","0","25","mg","","","AMITRIPTYLINE"
"21695-252","d441d278-2c54-4a22-83a3-4627d49aaae4","0","50","mg","","","AMITRIPTYLINE"
"21695-253","d441d278-2c54-4a22-83a3-4627d49aaae4","0","100","mg","","","AMITRIPTYLINE"
"49349-549","44b6c3b6-9d48-4ef8-b656-996d8391c09b","0","10","mg","","","LISINOPRIL"
"53489-676","02b8f684-b1ca-4ab7-9567-bcacc6a92779","0","37.5","mg","","","Phentermine"
"55154-5382","e1904c28-8c19-44da-b395-1e4bd08d6122","0","500","mg","","","MYCOPHENOLIC ACID"
"55154-6262","e1904c28-8c19-44da-b395-1e4bd08d6122","0","250","mg","","","MYCOPHENOLIC ACID"
"52125-791","2da757ef-3e42-4555-b5ce-ab650668c8a4","0","5","mg","","","AMLODIPINE"
"50436-3173","58462270-0b4d-455e-ae9d-d2e13d6cab3f","0","37.5","mg","","","Phentermine"
"35356-341","ce7e8b54-9ca1-4ebb-9df3-a291eb53674f","0","2","mg","","","tizanidine"
"35356-342","ce7e8b54-9ca1-4ebb-9df3-a291eb53674f","0","4","mg","","","tizanidine"
"35356-446","ce7e8b54-9ca1-4ebb-9df3-a291eb53674f","0","6","mg","","","tizanidine"
"49349-121","4b9f0bba-1bdf-4be0-846e-e25761946f71","0","10","mg","","","LOXAPINE"
"55154-2095","266bac10-f40d-4982-a0dc-3e268bdb6fb2","0","25","mg","","","HYDROXYZINE"
"52959-392","ec27c135-8ffd-4487-a4fa-7c0514e843e6","0","0.75","mg","","","DEXAMETHASONE"
"52959-547","ec27c135-8ffd-4487-a4fa-7c0514e843e6","0","4","mg","","","DEXAMETHASONE"
"21695-788","1ac2687d-1a70-4a69-b84c-22840925db09","0","100","mg","","","losartan"
"21695-788","1ac2687d-1a70-4a69-b84c-22840925db09","0","25","mg","","","hydrochlorothiazide"
"68405-009","71359f14-0f8f-4e90-af1d-426e8c21bd61","1","75","mg","","","BUPROPION"
"68405-009","71359f14-0f8f-4e90-af1d-426e8c21bd61","2","100","mg","","","TYROSINE"
"0555-9018","843cbef6-cbfb-4a44-bb80-22930753e4c0","1","0.18","mg","","","NORGESTIMATE"
"0555-9018","843cbef6-cbfb-4a44-bb80-22930753e4c0","1","0.035","mg","","","ETHINYL ESTRADIOL"
"0555-9018","843cbef6-cbfb-4a44-bb80-22930753e4c0","2","0.215","mg","","","NORGESTIMATE"
"0555-9018","843cbef6-cbfb-4a44-bb80-22930753e4c0","2","0.035","mg","","","ETHINYL ESTRADIOL"
"0555-9018","843cbef6-cbfb-4a44-bb80-22930753e4c0","3","0.25","mg","","","NORGESTIMATE"
"0555-9018","843cbef6-cbfb-4a44-bb80-22930753e4c0","3","0.035","mg","","","ETHINYL ESTRADIOL"
"54868-3327","c68bb847-5d17-4d63-99d4-e72f92a31392","0","1","mg","","","GLIMEPIRIDE"
"54868-5457","c68bb847-5d17-4d63-99d4-e72f92a31392","0","2","mg","","","GLIMEPIRIDE"
"54868-3377","c68bb847-5d17-4d63-99d4-e72f92a31392","0","4","mg","","","GLIMEPIRIDE"
"49884-677","4617417a-08df-4417-a944-dfc30de183db","0","30","mg","","","NIFEDIPINE"
"49884-678","4617417a-08df-4417-a944-dfc30de183db","0","60","mg","","","NIFEDIPINE"
"67544-005","5fa2dc50-3589-49f7-8fcc-0f7c0e91b3b7","0",".25","mg","","","ALPRAZOLAM"
"67544-629","5fa2dc50-3589-49f7-8fcc-0f7c0e91b3b7","0",".5","mg","","","ALPRAZOLAM"
"67544-290","5fa2dc50-3589-49f7-8fcc-0f7c0e91b3b7","0","1","mg","","","ALPRAZOLAM"
"59115-100","40c2d59d-78aa-45d1-8068-fc7d4ec053ab","0","5","mg","","","ESCITALOPRAM"
"59115-101","40c2d59d-78aa-45d1-8068-fc7d4ec053ab","0","10","mg","","","ESCITALOPRAM"
"59115-102","40c2d59d-78aa-45d1-8068-fc7d4ec053ab","0","20","mg","","","ESCITALOPRAM"
"55289-926","d8028584-4186-41d6-b74b-2535971aa216","0","500","mg","","","VALACYCLOVIR"
"63629-2792","fd40d7d3-285e-fac0-11a1-6213d067a371","0","200","mg","","","THEOPHYLLINE ANHYDROUS"
"68084-229","040d010a-b1b2-4db7-905d-8aa7f1bab0cd","0","50","mg","","","AZATHIOPRINE"
"55154-2359","d3f7c414-db83-4a7a-a7aa-745c5606cdba","0","500","mg","","","VALPROIC ACID"
"49349-119","8357fbc6-9a5b-4d06-bb99-0bc21ddbdc7d","0","100","mg","","","ALLOPURINOL"
"42254-130","5fc5f29a-51e3-4f28-8b22-2ba9a7e64e7c","0","5","mg","","","ZALEPLON"
"68387-497","80aaf81a-3447-4977-8902-03c62528a526","0","37.5","mg","","","TRAMADOL"
"68387-497","80aaf81a-3447-4977-8902-03c62528a526","0","325","mg","","","ACETAMINOPHEN"
"66336-012","f652a141-d29b-4f59-94fa-2b544084c13f","0","7.5","mg","","","HYDROCODONE"
"66336-012","f652a141-d29b-4f59-94fa-2b544084c13f","0","500","mg","","","ACETAMINOPHEN"
"35356-921","e7194af1-6304-4e3e-88ab-0825706a3962","0","10","mg","","","pravastatin"
"35356-919","e7194af1-6304-4e3e-88ab-0825706a3962","0","20","mg","","","pravastatin"
"35356-125","e7194af1-6304-4e3e-88ab-0825706a3962","0","40","mg","","","pravastatin"
"67046-942","d7d53a95-0398-4988-88aa-83e57de9c340","0","10","mg","","","Diazepam"
"67046-941","d7d53a95-0398-4988-88aa-83e57de9c340","0","5","mg","","","Diazepam"
"16714-041","73cd79c1-6bab-4d7b-ae8b-0176efbaf5b9","0","100","mg","","","ALLOPURINOL"
"16714-042","73cd79c1-6bab-4d7b-ae8b-0176efbaf5b9","0","300","mg","","","ALLOPURINOL"
"53808-0967","946cd61f-d733-4edf-96b7-f5566c35ae4a","0","25","mg","","","TOPIRAMATE"
"68047-253","2d5fa637-0696-40fe-9bc1-fcb6f07a50f6","0","0.125","mg","","","HYOSCYAMINE"
"50436-7370","3044d9fb-39e0-4593-be10-31b50e3fa0b4","0","40","mg","","","Famotidine"
"52959-432","29bd88e3-215d-4c34-b22a-df159a2dd98d","0","30","mg","","","Phentermine"
"49999-321","93c8fc6b-4a19-4f55-b7cf-8b0e1255cdf9","0","20","mg","","","LISINOPRIL"
"49999-321","93c8fc6b-4a19-4f55-b7cf-8b0e1255cdf9","0","25","mg","","","HYDROCHLOROTHIAZIDE"
"0527-1282","bd2cba10-70ec-4d1f-b46c-53d1de2ee130","0","20","mg","","","DICYCLOMINE"
"0527-0586","bd2cba10-70ec-4d1f-b46c-53d1de2ee130","0","10","mg","","","DICYCLOMINE"
"55289-393","8b7f7043-5bfb-47a5-80cb-4f3f65358dff","0","200","mg","","","CEFPODOXIME"
"35356-335","dd8ae018-23fe-401b-9ccf-8ac8544d267f","0","15","mg","","","morphine"
"76237-262","5ac43f18-ae9f-40b8-b1e3-4d6e5b867150","0","25","mg","","","LAMOTRIGINE"
"76237-263","5ac43f18-ae9f-40b8-b1e3-4d6e5b867150","0","100","mg","","","LAMOTRIGINE"
"63304-624","3a2efcd1-9490-4113-974d-21da8ebd7e03","0","20","mg","","","FUROSEMIDE"
"63304-625","3a2efcd1-9490-4113-974d-21da8ebd7e03","0","40","mg","","","FUROSEMIDE"
"63304-626","3a2efcd1-9490-4113-974d-21da8ebd7e03","0","80","mg","","","FUROSEMIDE"
"63629-1400","50304146-001d-3810-f223-c500a827d514","0","25","mg","","","HYDROCHLOROTHIAZIDE"
"0143-9758","6b8d757f-8773-4513-b6be-179e0e6d0c1f","0","25","mg","","","TOPIRAMATE"
"0143-9757","6b8d757f-8773-4513-b6be-179e0e6d0c1f","0","50","mg","","","TOPIRAMATE"
"0143-9756","6b8d757f-8773-4513-b6be-179e0e6d0c1f","0","100","mg","","","TOPIRAMATE"
"0143-9755","6b8d757f-8773-4513-b6be-179e0e6d0c1f","0","200","mg","","","TOPIRAMATE"
"0078-0323","f1e28b44-3897-4788-9659-f5d6bce4d91e","0","1.5","mg","","","RIVASTIGMINE"
"0078-0324","f1e28b44-3897-4788-9659-f5d6bce4d91e","0","3","mg","","","RIVASTIGMINE"
"0078-0325","f1e28b44-3897-4788-9659-f5d6bce4d91e","0","4.5","mg","","","RIVASTIGMINE"
"0078-0326","f1e28b44-3897-4788-9659-f5d6bce4d91e","0","6","mg","","","RIVASTIGMINE"
"0781-2823","db1c840d-ab22-4a4c-9ced-ae82c869dd9b","0","10","mg","","","FLUOXETINE"
"0781-2822","db1c840d-ab22-4a4c-9ced-ae82c869dd9b","0","20","mg","","","FLUOXETINE"
"0781-2824","db1c840d-ab22-4a4c-9ced-ae82c869dd9b","0","40","mg","","","FLUOXETINE"
"21695-839","21c7fb80-4f9f-41eb-bebb-eda511980284","0","37.5","mg","","","triamterene"
"21695-839","21c7fb80-4f9f-41eb-bebb-eda511980284","0","25","mg","","","hydrochlorothiazide"
"49999-835","c5779977-a604-4010-a79e-11b83e216814","0","4","mg","","","HYDROMORPHONE"
"68084-216","82a2043b-6287-462d-a7a8-0b177ffdb173","0","250","mg","","","METRONIDAZOLE"
"68084-364","82a2043b-6287-462d-a7a8-0b177ffdb173","0","500","mg","","","METRONIDAZOLE"
"54569-3324","937d6426-aed3-445b-9e9d-f30fa2f27a29","0","500","mg","","","CEPHALEXIN ANHYDROUS"
"42291-755","3ebf9846-2396-56b0-d169-f5e39d5aeb51","0","500","mg","","","SALSALATE"
"42291-756","3ebf9846-2396-56b0-d169-f5e39d5aeb51","0","750","mg","","","SALSALATE"
"41616-635","67a4cf3b-bb06-4569-bb81-337a060d9c0f","0","5","mg","","","ALENDRONIC ACID"
"41616-636","67a4cf3b-bb06-4569-bb81-337a060d9c0f","0","10","mg","","","ALENDRONIC ACID"
"41616-637","67a4cf3b-bb06-4569-bb81-337a060d9c0f","0","35","mg","","","ALENDRONIC ACID"
"41616-638","67a4cf3b-bb06-4569-bb81-337a060d9c0f","0","70","mg","","","ALENDRONIC ACID"
"0615-6577","3911a46c-80fe-4b70-a4ba-416de597481b","0","5","mg","","","AMLODIPINE"
"0615-6578","3911a46c-80fe-4b70-a4ba-416de597481b","0","10","mg","","","AMLODIPINE"
"0615-6582","3911a46c-80fe-4b70-a4ba-416de597481b","0","2.5","mg","","","AMLODIPINE"
"63629-3791","47fd2922-5b1e-4995-8324-ecd495a160e1","0","0.2","mg","","","METHYLERGONOVINE"
"53489-148","9c4bedb4-2d59-4fcd-aad7-fce988cd96d8","0","10","mg","","","Thioridazine"
"53489-149","9c4bedb4-2d59-4fcd-aad7-fce988cd96d8","0","25","mg","","","Thioridazine"
"53489-150","9c4bedb4-2d59-4fcd-aad7-fce988cd96d8","0","50","mg","","","Thioridazine"
"53489-500","9c4bedb4-2d59-4fcd-aad7-fce988cd96d8","0","100","mg","","","Thioridazine"
"33261-951","34e91ac6-6a2d-4b1e-afcf-ec73c534f98d","0","120","mg","","","DILTIAZEM"
"55154-2660","221bf87c-652b-4ffc-b9dc-5d1db918c2eb","0","2","mg","","","TRIHEXYPHENIDYL"
"68084-006","ad42c611-c15a-472f-a701-0d722d3819f7","0","40","mg","","","PANTOPRAZOLE"
"68084-005","ad42c611-c15a-472f-a701-0d722d3819f7","0","20","mg","","","PANTOPRAZOLE"
"60429-758","4b1e7c09-c393-4f1e-be68-8a662ceda185","0","25","mg","","","FLUVOXAMINE"
"60429-759","4b1e7c09-c393-4f1e-be68-8a662ceda185","0","50","mg","","","FLUVOXAMINE"
"60429-760","4b1e7c09-c393-4f1e-be68-8a662ceda185","0","100","mg","","","FLUVOXAMINE"
"45963-811","d470bb9f-960c-4782-a96b-e7eff6b14670","0","75","mg","","","INDOMETHACIN"
"49349-925","63167efc-bbdc-44c4-b3d1-ed07a62ede80","0","20","mg","","","SIMVASTATIN"
"52125-174","8b6cff33-d66e-4e77-b220-308f670c8599","0","75","mg","","","CLOPIDOGREL"
"55289-890","bd79aebb-b221-4844-8e4a-f848b7c52f16","0","300","mg","","","CLINDAMYCIN"
"63629-4422","0149c87b-c18b-4f64-8baa-a16e54cebd9d","0","750","mg","","","METHOCARBAMOL"
"52125-215","2c0d0f27-5c1b-413f-9107-e20d683ec53e","0","5","mg","","","GLIPIZIDE"
"52959-204","354d1689-53f9-42d3-8308-08b6d9a04404","0","12.5","mg","","","CARVEDILOL"
"54569-0689","55ea1601-d8c3-46cd-9ec5-eb3e3a02b27e","1","0.5","mg","","","norethindrone"
"54569-0689","55ea1601-d8c3-46cd-9ec5-eb3e3a02b27e","1","0.035","mg","","","ethinyl estradiol"
"54569-0689","55ea1601-d8c3-46cd-9ec5-eb3e3a02b27e","2","0.75","mg","","","norethindrone"
"54569-0689","55ea1601-d8c3-46cd-9ec5-eb3e3a02b27e","2","0.035","mg","","","ethinyl estradiol"
"54569-0689","55ea1601-d8c3-46cd-9ec5-eb3e3a02b27e","3","1","mg","","","norethindrone"
"54569-0689","55ea1601-d8c3-46cd-9ec5-eb3e3a02b27e","3","0.035","mg","","","ethinyl estradiol"
"0143-1410","97c28049-1f40-4b0c-9caa-eb0770d0300d","0","1","mg","","","PREDNISONE"
"0143-1425","97c28049-1f40-4b0c-9caa-eb0770d0300d","0","2.5","mg","","","PREDNISONE"
"0143-1475","97c28049-1f40-4b0c-9caa-eb0770d0300d","0","5","mg","","","PREDNISONE"
"0143-1473","97c28049-1f40-4b0c-9caa-eb0770d0300d","0","10","mg","","","PREDNISONE"
"0143-1477","97c28049-1f40-4b0c-9caa-eb0770d0300d","0","20","mg","","","PREDNISONE"
"0093-5289","f1889599-be14-49af-8781-5594e9bd026b","0","50","mg","","","VORICONAZOLE"
"0093-5290","f1889599-be14-49af-8781-5594e9bd026b","0","200","mg","","","VORICONAZOLE"
"59762-1258","7f888a0c-189e-4c76-86d8-7bc6f21e3b16","0","5","mg","","","BISOPROLOL"
"59762-1261","7f888a0c-189e-4c76-86d8-7bc6f21e3b16","0","10","mg","","","BISOPROLOL"
"43063-411","ef0612af-894e-4c56-a334-29d366d6cd97","0","50","mg","","","sertraline"
"0093-5049","f22dab23-3cf6-4473-a367-5303353e9f9d","0","15","mg","","","pioglitazone"
"0093-5049","f22dab23-3cf6-4473-a367-5303353e9f9d","0","500","mg","","","metformin"
"0093-5050","f22dab23-3cf6-4473-a367-5303353e9f9d","0","15","mg","","","pioglitazone"
"0093-5050","f22dab23-3cf6-4473-a367-5303353e9f9d","0","850","mg","","","metformin"
"54569-0222","e45ef1cf-32f0-4594-b904-b12cdccdf9b9","0","2.5","mg","","","DIPHENOXYLATE"
"54569-0222","e45ef1cf-32f0-4594-b904-b12cdccdf9b9","0","0.025","mg","","","ATROPINE"
